"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"galileo:Inst:1                          ","Class","Inst","1.0.0.0","galileo","The Galileo class is the container for Galileo specific metadata elements.","ppi","","","","","","","","","","",""
"galileo:Inst:2                           galileo:brightness:1                    ","Attribute","brightness","n/a","galileo","The background brightness used for automatic exposure time calculation. ","ppi","ASCII_Integer","0","1","0","4095","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"galileo:Inst:2                           galileo:max_exposure:1                  ","Attribute","max_exposure","n/a","galileo","The maximum allowable exposure time from an automatic exposure time calculation. ","ppi","ASCII_Integer","0","1","0","989","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"galileo:GALILEO:1                       ","Class","GALILEO","1.0.0.0","galileo","The GALILEO class is the container for mission-specific metadata elements.","ppi","","","","","","","","","","",""
"galileo:GALILEO:2                        galileo:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","galileo","The mission_phase_name attribute provides the mission-defined name of a mission phase.","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Launch","Value","Launch","","","1989-10-17 (1989-290)to 1989-10-17 (1989-299)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Interplanetary Cruis","Value","Interplanetary Cruise","","","1989-10-17 (1989-290) to 1989-10-26 (1989-299)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth Venus Cruise","Value","Earth Venus Cruise","","","1989-10-26 (1989-299) to 1995-10-09 (1995-282)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:4-Day Checkout","Value","4-Day Checkout","","","1989-10-26 (1989-299) to 1990-02-19 (1990-50)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Venus Encounter","Value","Venus Encounter","","","1989-12-27 (1989-361) to 1989-12-31 (1989-365)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Venus Earth Cruise","Value","Venus Earth Cruise","","","1990-02-07 (1990-38) to 1990-02-19 (1990-50)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth1 Encounter","Value","Earth1 Encounter","","","1990-02-19 (1990-50) to 1991-04-21 (1991-119)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth-Earth Cruise","Value","Earth-Earth Cruise","","","1990-11-08 (1990-312) to 1990-12-16 (1990-350)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:GASPRA Encounter","Value","GASPRA Encounter","","","1991-04-29 (1990-119) to 1993-04-12 (1993-102)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Earth Jupiter Cruise","Value","Earth Jupiter Cruise","","","1990-02-19 (1990-50) to 1991-04-21 (1991-111)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IDA Encounter","Value","IDA Encounter","","","1993-04-12 (1993-102) to 1995-10-09 (1995-282)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Probe Release and OD","Value","Probe Release and ODM","","","1994-07-16 (1994-197) to 1994-07-22 (1994-203)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Jupiter Orbit Operat","Value","Jupiter Orbit Operations","","","1995-07-05 (1995-186) to 1995-07-31 (1995-221)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Prime Mission Orbit ","Value","Prime Mission Orbit Operations","","","1994-07-16 (1994-197) to 1994-07-22 (1994-203)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Jupiter Approach","Value","Jupiter Approach","","","1995-10-09 (1995-282) to 1997-12-15 (1994-349)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Jupiter 0 Orbit","Value","Jupiter 0 Orbit","","","1995-10-09 (1995-282) to 1995-12-03 (1995-337)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Jupiter 0 Orbit","Value","Jupiter 0 Orbit","","","1995-10-09 (1995-282) to 1995-12-03 (1995-337)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 0 Encounter","Value","IO 0 Encounter","","","1995-12-03 (1995-337) to 1996-06-23 (1996-175)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Probe","Value","Probe","","","1995-12-03 (1995-337) to 1996-01-03 (1996-3)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 1 Orbit","Value","Ganymede 1 Orbit","","","1995-12-07 (1995-341) to 1995-12-07 (1995-341)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 1 Encounter","Value","Ganymede 1 Encounter","","","1996-06-23 (1996-175) to 1996-09-01 (1996-245)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 2 Orbit","Value","Ganymede 2 Orbit","","","1996-06-23 (1996-175) to 1996-06-30 (1996-182)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 2 Encounter","Value","Ganymede 2 Encounter","","","1996-09-01 (1996-245) to 1996-11-02 (1996-302)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 3 Orbit","Value","Callisto 3 Orbit","","","1996-09-01 (1996-245) to 1996-09-08 (1995-252)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 3 Encounter","Value","Callisto 3 Encounter","","","1996-11-02 (1996-307) to 1996-12-15 (1996-350)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 4 Orbit","Value","Europa 4 Orbit","","","1996-11-02 (1996-307) to 1996-11-11 (1996-316)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 4 Encounter","Value","Europa 4 Encounter","","","1996-12-15 (1996-350) to 1997-02-16 (1997-47)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 6 Orbit","Value","Europa 6 Orbit","","","1996-12-15 (1996-350) to 1996-12-22 (1996-357)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 6 Encounter","Value","Europa 6 Encounter","","","1997-02-16 (1996-47) to 1997-03-30 (1997-89)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 7 Orbit","Value","Ganymede 7 Orbit","","","1997-02-16 (1996-47) to 1997-02-23 (1997-54)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 7 Encounter","Value","Ganymede 7 Encounter","","","1997-03-30 (1997-89) to 1997-05-04 (1997-124)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 8 Orbit","Value","Ganymede 8 Orbit","","","1997-03-30 (1997-89) to 1997-04-06 (1997-96)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 8 Encounter","Value","Ganymede 8 Encounter","","","1997-05-04 (1997-124) to 1997-06-22 (1997-173)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 9 Orbit","Value","Callisto 9 Orbit","","","1997-05-04 (1997-124) to 1997-05-11 (1997-131)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 10 Orbit","Value","Callisto 10 Orbit","","","1997-06-22 (1997-173) to 1997-06-29 (1997-180)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 10 Encounte","Value","Callisto 10 Encounter","","","1997-09-14 (1997-173) to 1997-11-14 (1997-318)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 11 Orbit","Value","Europa 11 Orbit","","","1997-09-14 (1997-257) to 1997-09-20 (1997-263)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 11 Encounter","Value","Europa 11 Encounter","","","1997-11-02 (1997-306) to 1997-12-15 (1997-349)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa Campaign","Value","Europa Campaign","","","1997-11-02 (1997-306) to 1997-11-09 (1997-313)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Orbiter Europa 12 Or","Value","Orbiter Europa 12 Orbit","","","1997-12-15 (1997-349) to 1999-05-02 (1999-122)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 12 Encounter","Value","Europa 12 Encounter","","","1997-12-15 (1997-349) to 1998-02-09 (1998-40)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 13 Orbit","Value","Europa 13 Orbit","","","1997-12-15 (1997-349) to 1997-12-17 (1997-351)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 14 Orbit","Value","Europa 14 Orbit","","","1998-02-09 (1998-40) to 1998-03-28 (1997-87)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 14 Encounter","Value","Europa 14 Encounter","","","1998-03-28 (1998-87) to 1998-05-30 (1998-150)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 15 Orbit","Value","Europa 15 Orbit","","","1998-03-28 (1998-87) to 1998-03-31 (1998-90)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 15 Encounter","Value","Europa 15 Encounter","","","1998-05-30 (1998-150) to 1998-07-20 (1998-201)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 16 Orbit","Value","Europa 16 Orbit","","","1998-05-30 (1998-150) to 1998-06-30 (1998-181)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 16 Encounter","Value","Europa 16 Encounter","","","1998-07-20 (1998-201) to 1998-09-25 (1998-268)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 17 Orbit","Value","Europa 17 Orbit","","","1998-07-20 (1998-201) to 1998-07-29 (1998-210)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 17 Encounter","Value","Europa 17 Encounter","","","1998-09-25 (1998-268) to 1998-11-21 (1998-316)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 18 Orbit","Value","Europa 18 Orbit","","","1998-09-25 (1998-268) to 1998-09-28 (1998-271)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 18 Encounter","Value","Europa 18 Encounter","","","1998-11-21 (1998-325) to 1999-01-31 (1999-31)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 19 Orbit","Value","Europa 19 Orbit","","","1998-11-21 (1998-325) to 1999-11-24 (1999-328)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 19 Encounter","Value","Europa 19 Encounter","","","1999-01-31 (1999-349) to 1999-05-02 (1997-351)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Perijove Reduction C","Value","Perijove Reduction Campaign","","","1999-01-31 (1999-31) to 1999-02-11 (1999-42)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Orbiter Callisto 20 ","Value","Orbiter Callisto 20 Orbiter","","","1999-05-02 (1999-122) to 1999-10-10 (1999-283)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 20 Encounte","Value","Callisto 20 Encounter","","","1999-05-02 (1999-122) to 1999-06-29 (1999-180)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 21 Orbit","Value","Callisto 21 Orbit","","","1999-05-02 (1999-122) to 1999-05-07 (1999-127)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 21 Encounte","Value","Callisto 21 Encounter","","","1999-06-29 (1999-180) to 1999-08-11 (1999-223)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 22 Orbit","Value","Callisto 22 Orbit","","","1999-06-29 (1999-180) to 1999-07-03 (1999-184)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 22 Encounte","Value","Callisto 22 Encounter","","","1999-08-11 (1999-223) to 1999-09-13 (1999-256)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 23 Orbit","Value","Callisto 23 Orbit","","","1999-08-11 (1999-223) to 1999-08-14 (1999-226)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 23 Encounte","Value","Callisto 23 Encounter","","","1999-09-13 (1999-256) to 1999-10-10 (1999-283)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO Campaign","Value","IO Campaign","","","1999-09-13 (1999-256) to 1999-09-17 (1999-260)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Orbiter IO 24 Orbit","Value","Orbiter IO 24 Orbit","","","1999-10-10 (1999-283) to 2000-05-20 (2000-141)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 24 Encounter","Value","IO 24 Encounter","","","1999-10-10 (1999-283) to 1999-11-25 (1999-330)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 25 Orbit","Value","IO 25 Orbit","","","1999-10-10 (1999-283) to 1999-10-14 (1999-287)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 25 Encounter","Value","IO 25 Encounter","","","1999-11-25 (1999-330) to 2000-01-02 (2000-2)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 26 Orbit","Value","Europa 26 Orbit","","","1999-11-25 (1999-330) to 1999-11-27 (1999-331)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Europa 26 Encounter","Value","Europa 26 Encounter","","","2000-01-02 (2000-2) to 2000-02-20 (2000-51)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 27 Orbit","Value","IO 27 Orbit","","","2000-01-01 (2000-1) to 2000-01-05 (2000-5)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 27 Encounter","Value","IO 27 Encounter","","","2000-02-20 (2000-51) to 2000-05-17 (2000-138)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Galileo-Cassini Phas","Value","Galileo-Cassini Phase","","","2000-02-20 (2000-51) to 2000-02-25 (2000-56)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Galileo-Cassini Phas","Value","Galileo-Cassini Phase","","","2000-02-20 (2000-51) to 2000-02-25 (2000-56)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Orbiter Ganymede 28 ","Value","Orbiter Ganymede 28 Orbit","","","2000-05-17 (2000-51) to 2001-02-05 (2001-36)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 28 Encounte","Value","Ganymede 28 Encounter","","","2000-05-20 (2000-141) to 2000-12-27 (2000-362)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 29 Orbit","Value","Ganymede 29 Orbit","","","2000-05-17 (2000-138) to 2000-06-13 (2000-165)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Ganymede 29 Encounte","Value","Ganymede 29 Encounter","","","2000-12-27 (2000-362) to 2001-05-22 (2001-142)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO Campaign","Value","IO Campaign","","","2000-12-26 (2000-361) to 2001-02-05 (2001-36)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Orbiter Callisto 30 ","Value","Orbiter Callisto 30 Orbit","","","2001-05-22 (2001-142) to 2002-01-20 (2002-20)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Callisto 30 Encounte","Value","Callisto 30 Encounter","","","2001-05-22 (2001-361) to 2001-08-04 (2002-216)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 31 Orbit","Value","IO 31 Orbit","","","2001-05-22 (2001-361) to 2001-05-27 (2001-147)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 31 Encounter","Value","IO 31 Encounter","","","2001-08-04 (2001-216) to 2001-10-14 (2001-287)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 32 Orbit","Value","IO 32 Orbit","","","2001-08-04 (2001-216) to 2001-08-09 (2001-221)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 32 Encounter","Value","IO 32 Encounter","","","2001-10-14 (2001-287) to 2002-01-15 (2002-15)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 33 Orbit","Value","IO 33 Orbit","","","2001-10-14 (2001-287) to 2001-10-29 (2001-302)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:IO 33 Encounter","Value","IO 33 Encounter","","","2002-01-15 (2002-15) to 2002-11-02 (2002-306)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Inner Jupiter Phase","Value","Inner Jupiter Phase","","","2002-01-15 (2002-15) to 2002-01-20 (2002-20)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Orbiter Amalthea 34 ","Value","Orbiter Amalthea 34 Orbit","","","2002-11-02 (2002-306) to 2003-09-21 (2003-264)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Amalthea 34 Encounte","Value","Amalthea 34 Encounter","","","2002-11-02 (2002-306) to 2003-09-21 (2003-264)"
"galileo:GALILEO:2                        galileo:mission_phase_name:2             Value:Jupiter 35 Orbit","Value","Jupiter 35 Orbit","","","2002-11-02 (2002-306) to 2002-11-08 (2003-312)"
"galileo:GALILEO:2                        galileo:spacecraft_clock_start_count:1  ","Attribute","spacecraft_clock_start_count","n/a","galileo","The spacecraft_clock_start_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"galileo:GALILEO:2                        galileo:spacecraft_clock_stop_count:1   ","Attribute","spacecraft_clock_stop_count","n/a","galileo","The spacecraft_clock_stop_count attribute provides the value of the spacecraft clock at the beginning of a time period of interest. ","ppi","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
